group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.20
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.20	0.40
isti	2	مِنَ		0.00	0.00	spread	0.40	0.60
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.60	0.80
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.80	1.00
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.00	1.26
header	1	ٱللَّهِ	اللَّهِ	1.00	0.94	rec	1.30	1.66
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰعَنِ	0.88	0.97	rec	1.70	2.66
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	2.70	4.18
1	0	الٓرۚ	الر	1.00	0.99	rec	4.92	8.36
1	1	كِتَٰبٌ	كِتَابٌ	1.00	1.00	rec	9.84	10.56
1	2	أُحْكِمَتْ	أُحْكِمَتْ	1.00	1.00	rec	10.92	11.86
1	3	ءَايَٰتُهُۥ	آيَاتُهُ	0.83	1.00	rec	11.94	13.16
1	4	ثُمَّ	ثُمَّ	1.00	1.00	rec	13.58	14.46
1	5	فُصِّلَتْ	فُصِّلَتْ	1.00	1.00	rec	14.60	15.44
1	6	مِن	مِنْ	1.00	1.00	rec	15.52	15.80
1	7	لَّدُنْ	لَدُنْ	1.00	1.00	rec	15.88	16.38
1	8	حَكِيمٍ	حَكِيمٍ	1.00	1.00	rec	16.48	17.32
1	9	خَبِيرٍ	خَبِيرٍ	1.00	1.00	rec	17.70	19.20
2	0	أَلَّا	أَلَّا	1.00	0.97	rec	20.36	20.76
2	1	تَعْبُدُوٓا۟	تَعْبُدُوا	1.00	0.96	rec	21.10	21.76
2	2	إِلَّا	إِلَّا	1.00	1.00	rec	22.14	22.64
2	3	ٱللَّهَۚ	اللَّهَ	1.00	0.96	rec	22.68	23.54
2	4	إِنَّنِى	إِنَّنِي	1.00	1.00	rec	23.96	25.18
2	5	لَكُم	لَكُمْ	1.00	1.00	rec	25.56	26.40
2	6	مِّنْهُ	مِنْهُ	1.00	1.00	rec	26.46	26.92
2	7	نَذِيرٌۭ	نَذِيرٌ	1.00	1.00	rec	27.06	27.92
